State,X,Y,Year,NatGasC
IN,6,4,2014,"726,972"
IN,6,4,2015,"738,130"
IN,6,4,2016,"782,939"
IN,6,4,2017,"751,481"
KS,3,3,1960,"373,664"
KS,3,3,1961,"364,020"
KS,3,3,1962,"373,666"
KS,3,3,1963,"367,759"
KS,3,3,1964,"391,306"
KS,3,3,1965,"440,802"
KS,3,3,1966,"481,093"
KS,3,3,1967,"446,454"
KS,3,3,1968,"490,591"
KS,3,3,1969,"540,660"
KS,3,3,1970,"574,542"
KS,3,3,1971,"605,775"
KS,3,3,1972,"626,853"
KS,3,3,1973,"597,207"
KS,3,3,1974,"578,795"
KS,3,3,1975,"490,748"
KS,3,3,1976,"505,408"
KS,3,3,1977,"497,279"
KS,3,3,1978,"507,973"
KS,3,3,1979,"571,266"
KS,3,3,1980,"481,990"
KS,3,3,1981,"422,564"
KS,3,3,1982,"400,519"
KS,3,3,1983,"345,858"
KS,3,3,1984,"360,762"
KS,3,3,1985,"354,756"
KS,3,3,1986,"307,990"
KS,3,3,1987,"343,155"
KS,3,3,1988,"347,982"
KS,3,3,1989,"338,559"
KS,3,3,1990,"352,645"
KS,3,3,1991,"373,151"
KS,3,3,1992,"338,755"
KS,3,3,1993,"386,513"
KS,3,3,1994,"415,552"
KS,3,3,1995,"367,750"
KS,3,3,1996,"360,921"
KS,3,3,1997,"338,569"
KS,3,3,1998,"325,041"
KS,3,3,1999,"302,023"
KS,3,3,2000,"314,868"
KS,3,3,2001,"273,862"
KS,3,3,2002,"307,432"
KS,3,3,2003,"284,722"
KS,3,3,2004,"260,117"
KS,3,3,2005,"258,695"
KS,3,3,2006,"269,274"
KS,3,3,2007,"291,695"
KS,3,3,2008,"292,523"
KS,3,3,2009,"292,425"
KS,3,3,2010,"280,413"
KS,3,3,2011,"285,318"
KS,3,3,2012,"268,086"
KS,3,3,2013,"288,274"
KS,3,3,2014,"291,483"
KS,3,3,2015,"280,421"
KS,3,3,2016,"276,404"
KS,3,3,2017,"278,639"
KY,6.5,3,1960,"153,807"
KY,6.5,3,1961,"156,328"
KY,6.5,3,1962,"163,826"
KY,6.5,3,1963,"173,508"
KY,6.5,3,1964,"179,666"
KY,6.5,3,1965,"176,734"
KY,6.5,3,1966,"152,219"
KY,6.5,3,1967,"197,083"
KY,6.5,3,1968,"201,137"
KY,6.5,3,1969,"240,050"
KY,6.5,3,1970,"252,265"
KY,6.5,3,1971,"248,514"
